# Downloaded from Joy Bergelson's Lab website on January 12, 2017.
# All commas (,) and apostrophes (') were removed to prevent
# any problems in reading the data into R using read.table.
#
call_method_id	array_id	median_intensity	ecotype_id	latitude	longitude	nativename	stockparent	firstname	surname	site	region	country
75	889	252.0	6	45.2667	1.48333	ALL1-7		Valerie	Le Corre	ALL1	Western Europe	FRA
75	724	356.0	7	45.2667	1.48333	ALL1-8		Valerie	Le Corre	ALL1	Western Europe	FRA
75	877	638.0	8	45.2667	1.48333	ALL1-9		Valerie	Le Corre	ALL1	Western Europe	FRA
75	861	471.0	9	45.2667	1.48333	ALL2-1		Valerie	Le Corre	ALL2	Western Europe	FRA
75	741	381.0	12	45.2667	1.48333	ALL2-4		Valerie	Le Corre	ALL2	Western Europe	FRA
75	217	165.0	6989	54.8	-2.4333	Alst-1	CS22550	Maarten	Koornneef	Alst	Western Europe	UK
75	470	813.0	6990	53.448	5.73	Amel-1	CS22526	Maarten	Koornneef	Amel	Western Europe	NED
75	55	767.0	6898	51.2167	4.4	An-1	CS22626	Albert	Kranz	An	Western Europe	BEL
75	349	504.0	6996	51.2167	4.4	An-2	CS6604	Albert	Kranz	An	Western Europe	BEL
75	184	505.0	8254	50.3	5.3	Ang-0	CS949	Albert	Kranz	Ang	Western Europe	BEL
75	471	579.0	6992	50.3	5.3	Ang-0	CS6605	Albert	Kranz	Ang	Western Europe	BEL
75	1041	406.0	1312	59.5667	16.8667	Ängsö-57-419		Jon	Ågren	Ängsö	C Sweden	SWE
75	1040	445.0	1313	59.5667	16.8667	Ängsö-59-422		Jon	Ågren	Ängsö	C Sweden	SWE
75	1039	610.0	1317	59.5667	16.8667	Ängsö-74-430		Jon	Ågren	Ängsö	C Sweden	SWE
75	711	215.0	1318	59.5667	16.8667	Ängsö-80-432		Jon	Ågren	Ängsö	C Sweden	SWE
75	374	664.0	6994	45.9	6.13028	Ann-1	CS22520	Maarten	Koornneef	Ann	Western Europe	FRA
75	569	637.0	5830	56.3333	15.9667	App1-12		Magnus	Nordborg	App1	S Sweden	SWE
75	568	543.0	5831	56.3333	15.9667	App1-14		Magnus	Nordborg	App1	S Sweden	SWE
75	373	858.0	5832	56.3333	15.9667	App1-16		Magnus	Nordborg	App1	S Sweden	SWE
75	472	667.0	6998	59.4308	16.7999	Arby-1	CS22547	Maarten	Koornneef	Arby	C Sweden	SWE
75	952	725.0	5711	54.8	-3.3	Asp-1		Eric	Holub	Aspatria	England	UK
75	505	160.0	9179	44.5656	34.3217	Ayu-Dag-3	CS22817	James	Beck	Ayu-Dag		UKR
75	335	772.0	7014	56.5459	-4.79821	Ba-1	CS6607	Albert	Kranz	Black Mount (Ba)	Northern Europe	UK
75	240	310.0	8256	56.4	12.9	Bå1-2		Magnus	Nordborg	Bå	S Sweden	SWE
75	179	604.0	8258	56.4	12.9	Bå4-1		Magnus	Nordborg	Bå	S Sweden	SWE
75	180	554.0	8259	56.4	12.9	Bå5-1		Magnus	Nordborg	Bå	S Sweden	SWE
75	375	733.0	7002	51.3333	6.1	Baa-1	CS22529	Maarten	Koornneef	Baa	Western Europe	NED
75	657	602.0	9332	62.8698	18.381	Bar 1		Alison	Anastasio	Barsta	N Sweden	SWE
75	134	256.0	6899	49.0	11.0	Bay-0	CS22633	Albert	Kranz	Bay	Western Europe	GER
75	1059	766.0	7028	49.5166	9.3166	Bch-1	CS6609	Albert	Kranz	Bch	Western Europe	GER
75	1060	745.0	7029	49.5166	9.3166	Bch-3	CS6610	Albert	Kranz	Bch	Western Europe	GER
75	1061	589.0	7030	49.5166	9.3166	Bch-4	CS6611	Albert	Kranz	Bch	Western Europe	GER
75	1062	444.0	7013	52.4584	13.287	Bd-0	CS6612	Albert	Kranz	Bd	Western Europe	GER
75	301	635.0	7011	49.6803	8.6161	Be-1	CS6614	Albert	Kranz	Be	Western Europe	GER
75	1324	319.0	5713	51.3	0.5	Bea-1		Eric	Holub	Bearsted	England	UK
75	487	766.0	957	42.1167	12.4833	Belmonte-4-94		Jon	Ågren	Belmonte		ITA
75	350	608.0	7008	52.0	5.675	Benk-1	CS22530	Maarten	Koornneef	Benk	Western Europe	NED
75	214	218.0	6709	47.6479	-122.305	Bg-2	CS22342	Juliette	Winterer	BG	Pacific Northwest	USA
75	1296	263.0	5715	51.1	0.6	Bid-1		Eric	Holub	Biddenden	England	UK
75	567	813.0	5835	63.324	18.484	Bil-3		Magnus	Nordborg	Bil	N Sweden	SWE
75	80	650.0	6900	63.324	18.484	Bil-5	CS22578	Magnus	Nordborg	Bil	N Sweden	SWE
75	81	777.0	6901	63.324	18.484	Bil-7	CS22579	Magnus	Nordborg	Bil	N Sweden	SWE
75	1259	556.0	7015	41.6833	2.8	Bla-1	CS6616	Albert	Kranz	Bla	Southern Europe	ESP
75	242	187.0	8264	41.6833	2.8	Bla-1	CS971	Albert	Kranz	Bla	Southern Europe	ESP
75	1066	591.0	7017	41.6833	2.8	Bla-11	CS6623	Albert	Kranz	Bla	Southern Europe	ESP
75	1260	527.0	7024	41.6833	2.8	Bla-6	CS6621	Albert	Kranz	Bla	Southern Europe	ESP
75	1338	243.0	7034	48.0	19.0	Blh-1	CS6645	Albert	Kranz	Blh	Eastern Europe	CZE
75	243	266.0	8265	48.0	19.0	Blh-1	CS1031	Albert	Kranz	Blh	Eastern Europe	CZE
75	336	1161.0	7035	48.0	19.0	Blh-2	CS6657	Albert	Kranz	Blh	Eastern Europe	CZE
75	656	504.0	9336	62.8794	18.4473	Bön 1		Alison	Anastasio	Bönhamn	N Sweden	SWE
75	52	184.0	8266	55.86	13.51	Boo2-1		Magnus	Nordborg	Boo2	S Sweden	SWE
75	597	974.0	5836	55.86	13.51	Boo2-3		Magnus	Nordborg	Boo2	S Sweden	SWE
75	376	594.0	7026	54.4	-3.2667	Boot-1	CS22551	Maarten	Koornneef	Boot	Northern Europe	UK
75	56	549.0	5837	49.4013	16.2326	Bor-1	CS22590	Jirina	Relichová	Bor	Moravia	CZE
75	1750		5846	49.4013	16.2326	Bor-15		Jirina	Relichová	Bor	Moravia	CZE
75	1654		5848	49.4013	16.2326	Bor-17		Jirina	Relichová	Bor	Moravia	CZE
75	1656		5838	49.4013	16.2326	Bor-2		Jirina	Relichová	Bor	Moravia	CZE
75	135	325.0	6903	49.4013	16.2326	Bor-4	CS22591	Jirina	Relichová	Bor	Moravia	CZE
75	1659		5841	49.4013	16.2326	Bor-9		Jirina	Relichová	Bor	Moravia	CZE
75	1648		428	49.403	16.232	Borky1		Marie-Theres	Hauser	Borky		CZE
75	1649		429	49.403	16.232	Borky2		Marie-Theres	Hauser	Borky		CZE
75	655	344.0	9339	57.7133	15.0689	Böt 1		Alison	Anastasio	Bötteryd	C Sweden	SWE
75	1045	462.0	9342	57.7133	15.0689	Böt 4		Alison	Anastasio	Bötteryd	C Sweden	SWE
75	136	387.0	6904	49.2	16.6166	Br-0	CS22628	Albert	Kranz	Br	Moravia	CZE
75	1319	479.0	5717	54.6	-3.2	Bra-1		Eric	Holub	Braithwaite	England	UK
75	244	220.0	8231	56.3	16.0	Brö1-6		Magnus	Nordborg	Brömsebro	S Sweden	SWE
75	1622		1061	55.7167	14.1333	Brösarp-11-135		Jon	Ågren	Brösarp	S Sweden	SWE
75	701	337.0	1062	55.7167	14.1333	Brösarp-15-138		Jon	Ågren	Brösarp	S Sweden	SWE
75	700	202.0	1063	55.7167	14.1333	Brösarp-21-140		Jon	Ågren	Brösarp	S Sweden	SWE
75	699	246.0	1064	55.7167	14.1333	Brösarp-25-142		Jon	Ågren	Brösarp	S Sweden	SWE
75	689	243.0	1068	55.7167	14.1333	Brösarp-37-149		Jon	Ågren	Brösarp	S Sweden	SWE
75	1630		1070	55.7167	14.1333	Brösarp-45-153		Jon	Ågren	Brösarp	S Sweden	SWE
75	721	243.0	1072	55.7167	14.1333	Brösarp-51-157		Jon	Ågren	Brösarp	S Sweden	SWE
75	720	206.0	1073	55.7167	14.1333	Brösarp-53-159		Jon	Ågren	Brösarp	S Sweden	SWE
75	695	221.0	1075	55.7167	14.1333	Brösarp-63-163		Jon	Ågren	Brösarp	S Sweden	SWE
75	185	512.0	8270	47.5	7.5	Bs-1	CS997	Albert	Kranz	Bs	Western Europe	SUI
75	445	656.0	7004	47.5	7.5	Bs-2	CS6628	Albert	Kranz	Bs	Western Europe	SUI
75	218	254.0	7031	50.0167	8.6667	Bsch-0	CS6630	Albert	Kranz	Bsch	Western Europe	GER
75	1067	654.0	7032	50.0167	8.6667	Bsch-2	CS6631	Albert	Kranz	Bsch	Western Europe	GER
75	245	216.0	8271	50.5	9.5	Bu-0	CS1007	Albert	Kranz	Bu	Western Europe	GER
75	346	757.0	7033	41.3599	-122.755	Buckhorn Pass	CS8067	Angus	Murphy	Buckhorn Pass	Northern California	USA
75	137	218.0	6905	54.1	-6.2	Bur-0	CS22656	Albert	Kranz	Bur	Northern Europe	IRL
75	1291	289.0	5719	54.1	-6.2	Bur-0		D.	Ratcliffe	Bur	Northern Europe	IRL
75	138	216.0	6906	40.2077	-8.42639	C24	CS22620	Brigitte	Damm	Co	Southern Europe	POR
75	220	318.0	7062	50.2981	8.26607	Ca-0	CS6658	Albert	Kranz	Ca	Western Europe	GER
75	1297	318.0	5720	53.3	-1.6	Cal-2		D.	Ratcliffe	Cal	Northern Europe	UK
75	1762		9151	38.8158	-4.125	Cala-7	CS22789	James	Beck	Villamayor de Calatrava		ESP
75	502	161.0	9152	38.8158	-4.125	Cala-8	CS22790	James	Beck	Villamayor de Calatrava		ESP
75	1075	866.0	23	48.2667	-4.58333	CAM-16		Valerie	Le Corre	CAM	Western Europe	FRA
75	851	809.0	32	48.2667	-4.58333	CAM-25		Valerie	Le Corre	CAM	Western Europe	FRA
75	753	459.0	45	48.2667	-4.58333	CAM-42		Valerie	Le Corre	CAM	Western Europe	FRA
75	752	380.0	48	48.2667	-4.58333	CAM-45		Valerie	Le Corre	CAM	Western Europe	FRA
75	881	565.0	51	48.2667	-4.58333	CAM-48		Valerie	Le Corre	CAM	Western Europe	FRA
75	825	645.0	60	48.2667	-4.58333	CAM-56		Valerie	Le Corre	CAM	Western Europe	FRA
75	760	666.0	62	48.2667	-4.58333	CAM-58		Valerie	Le Corre	CAM	Western Europe	FRA
75	208	667.0	66	48.2667	-4.58333	CAM-61		Valerie	Le Corre	CAM	Western Europe	FRA
75	865	432.0	69	48.2667	-4.58333	CAM-64		Valerie	Le Corre	CAM	Western Europe	FRA
75	876	593.0	74	48.2667	-4.58333	CAM-7		Valerie	Le Corre	CAM	Western Europe	FRA
75	246	331.0	8274	29.2144	-13.4811	Can-0	CS1065	Albert	Kranz	Can	Southern Europe	ESP
75	1765		9201	41.2417	-3.3828	Cant-8	CS28861	James	Beck	Cantalojas		ESP
75	247	283.0	8275	49.0	0.5	Cen-0	CS1067	Albert	Kranz	Cen	Western Europe	FRA
75	473	696.0	7069	46.0333	7.1167	Cha-0	CS6662	Albert	Kranz	Champex (Cha)	Western Europe	SUI
75	397	908.0	7071	48.0717	1.33867	Chat-1	CS22521	Maarten	Koornneef	Chat	Western Europe	FRA
75	1069	595.0	7073	53.7502	34.7361	Chi-1	CS6665	Albert	Kranz	Chi	Eastern Europe	RUS
75	1317	510.0	5723	51.3	1.0	Chr-1		Eric	Holub	Chartham	England	UK
75	60	691.0	6907	51.4083	-0.6383	CIBC-17	CS22603	Mick	Crawley	CIBC	Northern Europe	UK
75	423	845.0	6727	51.4083	-0.6383	CIBC-2	CS22221	Mick	Crawley	CIBC	Northern Europe	UK
75	351	722.0	6729	51.4083	-0.6383	CIBC-4	CS22223	Mick	Crawley	CIBC	Northern Europe	UK
75	377	822.0	6730	51.4083	-0.6383	CIBC-5	CS22224	Mick	Crawley	CIBC	Northern Europe	UK
75	82	861.0	6908	51.4083	-0.6383	CIBC-5	CS22602	Mick	Crawley	CIBC	Northern Europe	UK
75	378	1240.0	7075	43.3779	2.54038	Cit-0	CS1080	Albert	Kranz	Cit	Western Europe	FRA
75	835	564.0	77	48.8	2.26667	CLA-7		Valerie	Le Corre	CLA	Western Europe	FRA
75	398	901.0	7064	51.3	1.1	Cnt-1	CS6921	Eric	Holub	Canterbury (Sullivan garden)	England	UK
75	342	859.0	7081	40.2077	-8.42639	Co	CS3180	George	Redei	Co	Southern Europe	POR
75	399	738.0	7078	40.12	-8.25	Co-2	CS6670	Albert	Kranz	Co	Southern Europe	POR
75	1261	729.0	7079	40.12	-8.25	Co-3	CS6671	Albert	Kranz	Co	Southern Europe	POR
75	166	551.0	7080	40.12	-8.25	Co-4	CS6672	Albert	Kranz	Co	Southern Europe	POR
75	297	498.0	5729	54.7	-3.4	Coc-1		Eric	Holub	Cockermouth	England	UK
75	139	610.0	6909	38.3	-92.3	Col-0	CS22625	Albert	Kranz	Col	Midwest	USA
75	352	559.0	7092	49.416	2.823	Com-1	CS22522	Maarten	Koornneef	Com	Western Europe	FRA
75	1361	197.0	946	42.4682	-71.4158	CON-6		Kathleen	Donohue	CON	New England	USA
75	972	423.0	5731	54.9	-2.9	Crl-1		Eric	Holub	Carlisle	England	UK
75	167	152.0	6744	40.8585	-73.4675	CSHL-5	CS22423	Catherine	Weiss	CSHL	Long Island	USA
75	62	545.0	6910	37.3	15.0	Ct-1	CS22639	Albert	Kranz	Ct	Southern Europe	ITA
75	1298	321.0	5733	54.7	-2.6	Cul-1		Eric	Holub	Culgaith	England	UK
75	736	398.0	79	45.0	1.75	CUR-10		Valerie	Le Corre	CUR	Western Europe	FRA
75	860	377.0	80	45.0	1.75	CUR-2		Valerie	Le Corre	CUR	Western Europe	FRA
75	482	419.0	81	45.0	1.75	CUR-3		Valerie	Le Corre	CUR	Western Europe	FRA
75	788	696.0	82	45.0	1.75	CUR-4		Valerie	Le Corre	CUR	Western Europe	FRA
75	755	590.0	83	45.0	1.75	CUR-5		Valerie	Le Corre	CUR	Western Europe	FRA
75	803	667.0	84	45.0	1.75	CUR-6		Valerie	Le Corre	CUR	Western Europe	FRA
75	781	648.0	85	45.0	1.75	CUR-7		Valerie	Le Corre	CUR	Western Europe	FRA
75	873	682.0	86	45.0	1.75	CUR-8		Valerie	Le Corre	CUR	Western Europe	FRA
75	759	399.0	87	45.0	1.75	CUR-9		Valerie	Le Corre	CUR	Western Europe	FRA
75	143	390.0	6911	15.1111	-23.6167	Cvi-0	CS22614	Albert	Kranz	Cvi	Macaronesia	CPV
75	827	525.0	88	47.4	0.683333	CYR		Valerie	Le Corre	CYR	Western Europe	FRA
75	221	666.0	7460			Da(1)-12	CS917	Igor	Vizir	Unknown - Czech Republic	Eastern Europe	CZE
75	400	1062.0	7094	49.8724	8.65081	Da-0	CS6676	Albert	Kranz	Da	Western Europe	GER
75	863	629.0	89	48.7	1.98333	DAM1		Valerie	Le Corre	DAM1	Western Europe	FRA
75	446	830.0	7100	50.3055	8.324	Db-0	CS6677	Albert	Kranz	Db	Western Europe	GER
75	186	605.0	8233	41.1876	-87.1923	Dem-4		Joy	Bergelson	Dem	Midwest	USA
75	168	217.0	7098	47.0	5.0	Di-1	CS6681	Albert	Kranz	Di	Western Europe	FRA
75	654	655.0	9343	57.3089	18.1512	Dja 1		Alison	Anastasio	Djauvik	S Sweden	SWE
75	653	548.0	9344	57.3089	18.1512	Dja 2		Alison	Anastasio	Djauvik	S Sweden	SWE
75	681	346.0	9349	58.2896	15.1265	Djk 3		Alison	Anastasio	Djurklinik	C Sweden	SWE
75	447	633.0	7102	50.7224	8.2372	Do-0	CS6683	Albert	Kranz	Do	Western Europe	GER
75	652	470.0	9351	57.2608	16.3675	Död 1		Alison	Anastasio	Döderhult	C Sweden	SWE
75	651	517.0	9352	57.2608	16.3675	Död 2		Alison	Anastasio	Döderhult	C Sweden	SWE
75	650	353.0	9353	57.2608	16.3675	Död 3		Alison	Anastasio	Döderhult	C Sweden	SWE
75	613	598.0	5856	63.0167	17.4914	Dör-10		Magnus	Nordborg	Dör	N Sweden	SWE
75	1647		404	49.4211	16.3497	Doubravnik1		Marie-Theres	Hauser	Dou		CZE
75	1652		413	49.4211	16.3497	Doubravnik10		Marie-Theres	Hauser	Dou		CZE
75	1634		417	49.4211	16.3497	Doubravnik14		Marie-Theres	Hauser	Dou		CZE
75	1641		421	49.4211	16.3497	Doubravnik18		Marie-Theres	Hauser	Dou		CZE
75	1642		407	49.4211	16.3497	Doubravnik4		Marie-Theres	Hauser	Dou		CZE
75	1651		409	49.4211	16.3497	Doubravnik6		Marie-Theres	Hauser	Dou		CZE
75	1047	694.0	7106	51.051	13.7336	Dr-0	CS6684	Albert	Kranz	Dr	Western Europe	GER
75	1048	597.0	7104	49.4167	16.2667	Dra-1	CS6686	Albert	Kranz	Dra	Eastern Europe	CZE
75	424	557.0	7105	49.4167	16.2667	Dra-2	CS6687	Albert	Kranz	Dra	Eastern Europe	CZE
75	596	846.0	5860	62.6814	18.0165	Dra-3		Magnus	Nordborg	Dravla	N Sweden	SWE
75	595	939.0	5865	55.76	14.12	Dra1-4		Magnus	Nordborg	Dra1	S Sweden	SWE
75	594	827.0	5867	55.76	14.12	Dra2-1		Magnus	Nordborg	Dra2	S Sweden	SWE
75	250	266.0	8283	55.76	14.12	Dra3-1		Magnus	Nordborg	Dra3	S Sweden	SWE
75	593	648.0	5870	55.76	14.12	Dra3-9		Magnus	Nordborg	Dra3	S Sweden	SWE
75	1643		424	49.4112	16.2815	Draha2		Marie-Theres	Hauser	Dra-1		CZE
75	251	364.0	8284	49.4112	16.2815	DraII-1		Jirina	Relichová	DraII	Moravia	CZE
75	1745		5878	49.4112	16.2815	DraII-17		Jirina	Relichová	DraII	Moravia	CZE
75	1751		5871	49.4112	16.2815	DraII-2		Jirina	Relichová	DraII	Moravia	CZE
75	1753		5872	49.4112	16.2815	DraII-3		Jirina	Relichová	DraII	Moravia	CZE
75	1741		5873	49.4112	16.2815	DraII-4		Jirina	Relichová	DraII	Moravia	CZE
75	1743		5874	49.4112	16.2815	DraII-6		Jirina	Relichová	DraII	Moravia	CZE
75	1699		5875	49.4112	16.2815	DraII-7		Jirina	Relichová	DraII	Moravia	CZE
75	187	665.0	8285	49.4112	16.2815	DraIII-1		Jirina	Relichová	DraIII	Moravia	CZE
75	1653		5883	49.4112	16.2815	DraIII-17		Jirina	Relichová	DraIII	Moravia	CZE
75	1674		5884	49.4112	16.2815	DraIV 1-1		Jirina	Relichová	DraIV 1	Moravia	CZE
75	1701		5893	49.4112	16.2815	DraIV 1-11		Jirina	Relichová	DraIV 1	Moravia	CZE
75	1660		5894	49.4112	16.2815	DraIV 1-12		Jirina	Relichová	DraIV 1	Moravia	CZE
75	1666		5895	49.4112	16.2815	DraIV 1-13		Jirina	Relichová	DraIV 1	Moravia	CZE
75	430	544.0	5896	49.4112	16.2815	DraIV 1-14		Jirina	Relichová	DraIV 1	Moravia	CZE
75	1684		5898	49.4112	16.2815	DraIV 1-16		Jirina	Relichová	DraIV 1	Moravia	CZE
75	311	392.0	5887	49.4112	16.2815	DraIV 1-5		Jirina	Relichová	DraIV 1	Moravia	CZE
75	1682		5888	49.4112	16.2815	DraIV 1-6		Jirina	Relichová	DraIV 1	Moravia	CZE
75	1691		5891	49.4112	16.2815	DraIV 1-9		Jirina	Relichová	DraIV 1	Moravia	CZE
75	1739		5899	49.4112	16.2815	DraIV 2-1		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1685		5908	49.4112	16.2815	DraIV 2-10		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1736		5910	49.4112	16.2815	DraIV 2-12		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1698		5911	49.4112	16.2815	DraIV 2-13		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1662		5913	49.4112	16.2815	DraIV 2-16		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1668		5914	49.4112	16.2815	DraIV 2-17		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1692		5900	49.4112	16.2815	DraIV 2-2		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1697		5901	49.4112	16.2815	DraIV 2-3		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1702		5902	49.4112	16.2815	DraIV 2-4		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1661		5904	49.4112	16.2815	DraIV 2-6		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1667		5905	49.4112	16.2815	DraIV 2-7		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1675		5906	49.4112	16.2815	DraIV 2-8		Jirina	Relichová	DraIV 2	Moravia	CZE
75	1735		5915	49.4112	16.2815	DraIV 3-1		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1676		5924	49.4112	16.2815	DraIV 3-10		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1687		5926	49.4112	16.2815	DraIV 3-12		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1693		5927	49.4112	16.2815	DraIV 3-13		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1744		5916	49.4112	16.2815	DraIV 3-2		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1686		5919	49.4112	16.2815	DraIV 3-5		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1703		5920	49.4112	16.2815	DraIV 3-6		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1663		5921	49.4112	16.2815	DraIV 3-7		Jirina	Relichová	DraIV 3	Moravia	CZE
75	1734		5922	49.4112	16.2815	DraIV 3-8		Jirina	Relichová	DraIV 3	Moravia	CZE
